Image,Description
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2497/CD%2015%20SERIES.jpg,CAP MICA 10PF 5% 500V RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2412/CD%2010%20SERIES.jpg,CAP MICA 22PF 5% 500V RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/922/CDV16F.jpg,CAP MICA 470PF 5% 1KV RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/922/CDV16F.jpg,CAP MICA 240PF 5% 1KV RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1049/338-1210%283225%29.jpg,CAP MICA 10PF 0.5PF 500V 1210
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2384/CD%2016%20SERIES.jpg,CAP MICA 220PF 5% 1KV RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2497/CD%2015%20SERIES.jpg,CAP MICA 180PF 5% 500V RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/922/CDV16F.jpg,CAP MICA 100PF 5% 1KV RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1049/338-1210%283225%29.jpg,CAP MICA 47PF 5% 100V 1210
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/922/CDV16F.jpg,CAP MICA 270PF 5% 1KV RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2497/CD%2015%20SERIES.jpg,CAP MICA 22PF 5% 500V RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2497/CD%2015%20SERIES.jpg,CAP MICA 20PF 5% 500V RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/945/CD19FD182FO3F.jpg,CAP MICA 10PF 5% 1KV RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1049/338-1210%283225%29.jpg,CAP MICA 100PF 5% 100V 1210
