Image,Description
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1249/18523.jpg,"TWEEZER POINT VERY FINE P7 4.53"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1177/18529.jpg,"TWEEZER FLAT 35A 4.53"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1300/18514.jpg,"TWEEZER ROUNDED 2AB 4.53"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4139/MFG_2A-ESD.jpg,TWEEZERS - STRAIGHT TAPERED FLAT
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4391/MFG_3C-ESD.jpg,TWEEZERS - 2 STAR STRAIGHT VERY
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/3612/MFG_35A-ESD.jpg,TWEEZERS - STRAIGHT FLAT POINT -
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4452/MFG_609-ESD.jpg,TWEEZERS - PLASTIC  - STRAIGHT .
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/696/MFG_705.CF.jpg,"PLASTIC TWEEZERS CF 4.53"",705"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/696/MFG_707A.CF.jpg,"PLASTIC TWEEZERS CF 4.53"",707A"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2162/MFG_TOL-10602.jpg,"TWEEZERS POINTED VERY FINE 4.72"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2535/MFG_TOL-12572.jpg,TWEEZER CURVED FINE
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2521/MFG_TOL-12573.jpg,TWEEZER STRAIGHT VERY FINE
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1085/18481.jpg,"TWEEZER POINTED 4.33"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1039/18423.jpg,"TWEEZER POINTED 4.53"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1122/18490.jpg,"TWEEZER POINTED BLUNT 5.71"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2733/MFG_6-ESD.jpg,TWEEZERS - ANGULATED FLAT SHARP
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/895/EROP2ASA.jpg,"TWEEZER FLAT ROUNDED 4.75"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/913/MFG_EROPOOSA.jpg,"TWEEZER POINTED MEDIUM 4.75"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4847/MFG_232_7-SA.jpg,STAINLESS STEEL TWEEZERS
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/MFG_232_3C-SA.jpg,STAINLESS STEEL TWEEZERS
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/MFG_232_5A-SA.jpg,STAINLESS STEEL TWEEZERS
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/MFG_232_3-SA.jpg,STAINLESS STEEL TWEEZERS
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/MFG_232_AA-SA.jpg,STAINLESS STEEL TWEEZERS
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/56/MFG_OO-SA.jpg,STAINLESS STEEL TWEEZERS
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/MFG_232_5-SA.jpg,STAINLESS STEEL TWEEZERS
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/726/MFG_7.SA.B.jpg,"ECONOMY TWEEZERS 4.72"",7"
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1799/18049USA.jpg,"TWEEZER FLAT BLUNT 2A 4.72"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1135/18032USA.JPG,"TWEEZER POINTED STRONG OO 4.72"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/956/18062USA.jpg,"TWEEZER POINTED ULTRA FINE 4.33"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1845/18029USA.jpg,"TWEEZER POINTED FINE OC 3.50"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/998/18032EZ.JPG,"TWEEZER POINTED STRONG OO 4.72"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/869/18013EZ.jpg,"TWEEZER POINTED FINE AA 5.12"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1874/18056EZ.jpg,"TWEEZER POINTED SHARP 3C 4.33"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1116/18074USA.jpg,"TWEEZER POINT ULTRA FINE 4.53"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1206/18049EZ.jpg,"TWEEZER FLAT ROUNDED 2A 4.72"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/845/18062EZ.jpg,"TWEEZER POINTED FINE 5 4.33"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4247/MFG_00D-SA-SE.jpg,TWEEZERS - STRAIGHT STRONG MEDIU
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4458/MFG_3C-SA-SE.jpg,TWEEZERS - STRAIGHT VERY FINE PO
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4572/MFG_2A-SA-SE.jpg,TWEEZERS - 1 STAR STRAIGHT TAPER
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2626/MFG_3-SA-SE.jpg,TWEEZERS - 1 STAR STRAIGHT VERY
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4210/MFG_6-S-SE.jpg,TWEEZERS - 1 STAR ANGULATED FLAT
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4139/MFG_2AB-SA-SE.jpg,TWEEZERS - 1 STAR CURVED TAPERED
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1125/MFG_5-SA-SE.jpg,TWEEZERS - STRAIGHT TAPERED ULTR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1909/18037USA.jpg,"TWEEZER FLAT STRONG OOD 4.72"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1038/18534.JPG,"TWEEZER POINTED 707A 4.53"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/387/18531.jpg,"TWEEZER FLAT BLUNT 702A 4.53"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1211/18432.jpg,"TWEEZER 11.81"""
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6461/145060-3.jpg,PRECISION TWEEZER SET
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/3954/MFG_18493.jpg,FORCEPS 12 INCHES WITH BENT TIPS
